product_id,user_id,user_name,review_id,review_title,review_content
B08CF3B7N1,AE3MQNNHHLUHXURL5S7IAR7JTGNQ,Anand,R2K9EDOE15QIRJ,Good Product,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B08CF3B7N1,AFSEOFZY67MYC7UAJU264Z5NFTLA,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,Value for money
B08Y1TFSP6,AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,Manav,R3HXWT0LRP0NMF,Satisfied,Looks durable Charging is fine tooNo complains
B08Y1TFSP6,AGRVINWECNY7323CWFXZYYIZOFTQ,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Charging is really fast
B08Y1TFSP6,AHBAT6VLOXWGYDL57KHCNCLPXAKA,Sundeep,R6AQJGUP6P86,Value for money,good product.
B08Y1TFSP6,AF7NDY2H6JVYTSQOZP76GCATQ34Q,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Till now satisfied with the quality.
B08Y1TFSP6,AFV7ZA733ZLME4KNLZPMPCBUNPPA,jaspreet singh,R3C02RMYQMK6FC,Good quality,This is a good product . The charging speed is slower than the original iPhone cable
B08Y1TFSP6,AHFAAPSY2MJ5HYOU2VQDJ7AQY4NQ,Khaja moin,R39GQRVBUZBWGY,Good product,Good quality
B08Y1TFSP6,AH2WGV2PEBUTICRPBEEVKF24G5LA,Anand,R2K9EDOE15QIRJ,Good Product,would recommend
B08Y1TFSP6,AEP4MK3EKOBDKTGPJTRN5RBDIODA,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B08WRWPM22,AG7C6DAADCTRQJG2BRS3RIKDT52Q,Manav,R3HXWT0LRP0NMF,Satisfied,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B08WRWPM22,AFU7BOMPVJ7Q3TTA4G67RASTGYIQ,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Value for money
B08WRWPM22,AER5ZGIXXVYG3AWZTRZT7M2BYCEA,Sundeep,R6AQJGUP6P86,Value for money,Looks durable Charging is fine tooNo complains
B08WRWPM22,AHE76XQSOLGOP5ZEKTIW6KUPDWBQ,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Charging is really fast
B08WRWPM22,AGXTMB2XHZBEWZ2UIX7ODZ4XTU6Q,jaspreet singh,R3C02RMYQMK6FC,Good quality,good product.
B08WRWPM22,AHNM2XVU745EDPNGUOAG74PTSNRA,Khaja moin,R39GQRVBUZBWGY,Good product,Till now satisfied with the quality.
B08WRWPM22,AH5RWQ4S72IVLZD6O75OPCFIVDXQ,Anand,R2K9EDOE15QIRJ,Good Product,This is a good product . The charging speed is slower than the original iPhone cable
B08WRWPM22,AG322TYKVPLPBDXE7ABEUK5QTALQ,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,Good quality
B08DDRGWTJ,AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,Manav,R3HXWT0LRP0NMF,Satisfied,would recommend
B08DDRGWTJ,AF74RSGCHPZITVFSZN76K6GKPICA,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B08DDRGWTJ,AHDD7ZNB47QA2JLYU53HD4ML3VNQ,Sundeep,R6AQJGUP6P86,Value for money,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B08DDRGWTJ,AHV3ELGDSOWBYUQLXSPDCSHBQRHQ,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Value for money
B08DDRGWTJ,AEJU4L3ZM2GTILSJZZSNSF6VUOIA,jaspreet singh,R3C02RMYQMK6FC,Good quality,Looks durable Charging is fine tooNo complains
B08DDRGWTJ,AFVD66VQMSHPDT3A6HBBBGKRXBZA,Khaja moin,R39GQRVBUZBWGY,Good product,Charging is really fast
B08DDRGWTJ,AELKHQXVSSG6NHXLFJLLNEFRQQUQ,Anand,R2K9EDOE15QIRJ,Good Product,good product.
B08DDRGWTJ,AGYSMAC6V6RFJJOHG2FIRPOZ6CSQ,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,Till now satisfied with the quality.
B008IFXQFU,AGV3IEFANZCKECFGUM42MRH5FNOA,ArdKn,RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device,This is a good product . The charging speed is slower than the original iPhone cable
B008IFXQFU,AEBO7NWCNXKT4AESAN443HQH35FQ,Nirbhay kumar,R1SMWZQ86XIN8U,Good quality product from ambrane,Good quality
B008IFXQFU,AE7GD3VRRYQEAHDR7FXJIR23INYA,Sagar Viswanathan,R2J3Y1WL29GWDE,Super cable,would recommend
B008IFXQFU,AHPAW24BI5X2GCX5M2LHI72VSJJQ,Asp,RYGGS0M09S3KY,As,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B008IFXQFU,AE2VXY4CFO36MDSIMPG43XHNF4GA,Placeholder,R17KQRUTAN5DKS,Good quality,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B008IFXQFU,AHHQEKUNVETALN7DTRHUQ2WAWEKQ,BharanI,R3AAQGS6HP2QUK,Good product,Value for money
B008IFXQFU,AFMIFTNTUD5PIHGONWOTRMMZ5EBA,sonia,R1HDNOG6TO2CCA,its good,Looks durable Charging is fine tooNo complains
B008IFXQFU,AHOJBIZVVIIFJKRREY4B6ESVA4KA,Niam,R3PHKXYA5AFEOU,Good quality for the price but one issue with my unit,Charging is really fast
B082LZGK39,AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn,RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device,good product.
B082LZGK39,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Nirbhay kumar,R1SMWZQ86XIN8U,Good quality product from ambrane,Till now satisfied with the quality.
B082LZGK39,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,Sagar Viswanathan,R2J3Y1WL29GWDE,Super cable,This is a good product . The charging speed is slower than the original iPhone cable
B082LZGK39,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,Asp,RYGGS0M09S3KY,As,Good quality
B082LZGK39,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,Placeholder,R17KQRUTAN5DKS,Good quality,would recommend
B082LZGK39,AEPSWFPNECKO34PUC7I56ITGXR6Q,BharanI,R3AAQGS6HP2QUK,Good product,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg
B082LZGK39,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,sonia,R1HDNOG6TO2CCA,its good,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...
B082LZGK39,AH4QT33M55677I7ISQOAKEQWACYQ,Niam,R3PHKXYA5AFEOU,Good quality for the price but one issue with my unit,Value for money
B08CF3D7QR,AGYLPKPZHVYKKZHOTHCTYVEDAJ4A,ArdKn,RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.
B08CF3D7QR,AGTTU64JMX722LYCN3SOWLFPKPAQ,Nirbhay kumar,R1SMWZQ86XIN8U,Good quality product from ambrane,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging
B08CF3D7QR,AFWD4ZTM7473CDWARHCDQKK73MTA,Sagar Viswanathan,R2J3Y1WL29GWDE,Super cable,Value for money
B08CF3D7QR,AEXCQM3FDLX3YL3UJWWUIAIUJT4A,Asp,RYGGS0M09S3KY,As,with extra length👍
B08CF3D7QR,AHUKYUWRUVRTB3IQGISXWTSPAWLQ,Placeholder,R17KQRUTAN5DKS,Good quality,Good
B08CF3D7QR,AFWW4UEXAJH7EAB5LTMKMSGLUN2Q,BharanI,R3AAQGS6HP2QUK,Good product,working fine
B08CF3D7QR,AFM5JL37WY7G6MLQUI4WAXUJME7Q,sonia,R1HDNOG6TO2CCA,its good,Product quality is good
B08CF3D7QR,AFECO24WYFOU2KL7C3DMHTEHRU7Q,Niam,R3PHKXYA5AFEOU,Good quality for the price but one issue with my unit,Good
B0789LZTCJ,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,ArdKn,RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device,very good
B0789LZTCJ,AG5HTSFRRE6NL3M5SGCUQBP7YSCA,Nirbhay kumar,R1SMWZQ86XIN8U,Good quality product from ambrane,Bought for my daughter's old phone.Brand new cable it was not charging
B0789LZTCJ,AH725ST5NW2Y4JZPKUNTIJCUK2BA,Sagar Viswanathan,R2J3Y1WL29GWDE,Super cable,I already repacked and requested for replacement.I checked again
B0789LZTCJ,AHV3TXIFCJPMS4D5JATCEUR266MQ,Asp,RYGGS0M09S3KY,As,and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad
B0789LZTCJ,AGWIGDEMFIIUAOXYY2QATNBSUGHA,Placeholder,R17KQRUTAN5DKS,Good quality,came with braided 1.5m long cable
B0789LZTCJ,AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,BharanI,R3AAQGS6HP2QUK,Good product,pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor
B0789LZTCJ,AGAKDNBHY2FKX7I4ACRGILU7QL7A,sonia,R1HDNOG6TO2CCA,its good,they might have stored in very humid place.
B0789LZTCJ,AFNWJUWJRHCC6HN52KMG5AKZY37Q,Niam,R3PHKXYA5AFEOU,Good quality for the price but one issue with my unit,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.
B07KSMBL2H,AEYJ5I6JZZPOJB6MGWRQOHRQLPSQ,ArdKn,RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging
B07KSMBL2H,AFY5TVFOMVHGBPBTIJODYDQRZM5Q,Nirbhay kumar,R1SMWZQ86XIN8U,Good quality product from ambrane,Value for money
B07KSMBL2H,AE3O6366WGEQAANKJ76QETTUQQTQ,Sagar Viswanathan,R2J3Y1WL29GWDE,Super cable,with extra length👍
B07KSMBL2H,AEQIJCPWSBCDKUO5VROXXHWX3PPA,Asp,RYGGS0M09S3KY,As,Good
